Date,Death Toll of Protestors,Number of Children Killed,Number of Military-Security Personnel Killed,Number of Individuals Arrested,Number of Detainees Identified,Number of Students Arrested,Number of Protests,Number of Cities Involved,Number of Universities Involved
9/17/2022,0,0,0,78,13,0,2,2,0
9/18/2022,0,0,0,255,29,1,7,4,2
9/19/2022,8,0,0,527,58,5,32,14,7
9/20/2022,28,1,1,1040,101,7,76,26,9
9/21/2022,74,8,9,1285,145,12,129,43,18
9/22/2022,100,12,10,1956,229,32,147,51,35
9/23/2022,109,13,10,2312,277,39,161,58,49
9/24/2022,111,13,10,2472,298,43,179,72,50
9/25/2022,112,13,11,2560,325,52,186,78,52
9/26/2022,113,13,11,2655,350,58,195,85,53
9/27/2022,113,13,11,2789,370,65,201,93,55
9/28/2022,116,13,11,2938,403,66,206,93,56
9/29/2022,122,14,11,3102,436,72,209,94,56
9/30/2022,206,27,16,3453,449,74,217,95,58
10/1/2022,210,28,18,3882,503,100,262,101,63
10/2/2022,219,28,19,4175,538,118,291,105,64
10/3/2022,220,29,19,4324,562,128,319,105,66
10/4/2022,220,29,19,4516,583,137,344,105,67
10/5/2022,221,29,20,4623,587,138,350,105,68
10/6/2022,221,29,20,4801,594,139,354,105,69
10/7/2022,222,30,20,4965,604,141,361,105,69
10/8/2022,230,33,22,5147,627,149,376,106,69
10/9/2022,232,33,22,5394,645,153,389,107,69
10/10/2022,234,34,22,5500,658,153,395,108,69
10/11/2022,234,34,22,5600,661,156,403,108,69
10/12/2022,243,36,24,5700,664,161,409,109,70
10/13/2022,243,36,24,5974,672,168,423,112,70
10/14/2022,243,36,26,7704,696,170,428,112,70
10/15/2022,243,36,26,7792,738,175,453,111,73
10/16/2022,243,36,26,7811,778,177,472,114,79
10/17/2022,245,36,28,9316,835,181,483,114,81
10/18/2022,245,36,28,9516,865,190,488,114,81
10/19/2022,247,37,28,12516,905,205,494,114,81
10/20/2022,247,37,28,12516,945,206,499,114,81
10/21/2022,247,37,28,12573,956,207,503,114,82
10/22/2022,249,38,28,12573,977,209,519,114,86
10/23/2022,249,38,28,12575,991,212,538,115,91
10/24/2022,250,38,29,13309,1002,214,552,115,98
10/25/2022,252,39,28,13523,1011,217,575,119,101
10/26/2022,252,40,30,13834,1020,222,641,122,109
10/27/2022,266,41,33,13993,1042,231,680,126,115
10/28/2022,272,44,34,13993,1053,242,698,129,115
10/29/2022,283,45,34,14052,1077,253,744,132,122
10/30/2022,284,46,36,14056,1293,276,780,133,129
10/31/2022,287,46,36,14161,1314,300,797,133,129
11/1/2022,287,46,36,14161,1314,300,797,133,129
11/2/2022,298,47,36,14161,1731,379,815,133,131
11/3/2022,300,47,37,14167,1753,385,829,134,132
11/4/2022,314,47,38,14170,1768,392,842,136,134
11/5/2022,318,49,38,14802,1784,397,857,136,134
11/6/2022,319,50,38,14823,1862,428,864,136,135
11/7/2022,321,50,38,14823,1891,429,870,136,135
11/8/2022,328,50,38,14823,1928,431,877,137,136
11/9/2022,328,50,39,14825,1941,438,891,138,137
11/10/2022,330,50,39,15092,1954,440,895,138,137
11/11/2022,336,52,39,15094,1972,441,907,138,137
11/12/2022,339,52,39,15345,1981,442,916,140,137
11/13/2022,341,52,39,15820,2013,445,920,140,138
11/14/2022,344,52,40,15820,2027,448,922,140,138
11/15/2022,348,54,43,15915,2048,455,951,140,139
11/16/2022,362,56,46,16033,2074,462,977,144,140
11/17/2022,381,57,50,16088,2097,497,990,146,140
11/18/2022,402,58,54,16813,2756,524,1008,150,140
11/19/2022,410,58,54,17251,2906,536,1047,155,142
11/20/2022,419,60,54,17451,3024,540,1059,155,142
11/21/2022,434,60,55,17473,3060,544,1064,155,142
11/22/2022,437,61,55,18055,3162,549,1075,155,142
11/23/2022,440,61,56,18059,3212,555,1075,156,143
11/24/2022,445,63,57,18170,3234,559,1085,156,143
11/25/2022,448,63,57,18170,3312,565,1095,156,143
11/26/2022,450,63,60,18173,3332,566,1102,156,143
11/27/2022,451,63,60,18173,3346,569,1104,157,143
11/28/2022,451,64,60,18183,3377,574,1105,157,143
11/29/2022,455,64,60,18185,3418,576,1105,157,143
11/30/2022,459,64,61,18195,3446,576,1105,157,143
12/1/2022,462,64,61,18206,3492,583,1118,157,143
12/2/2022,469,64,61,18210,3524,584,1129,159,143
12/3/2022,470,64,61,18210,3537,584,1129,159,143
12/4/2022,471,64,61,18210,3546,585,1129,159,143
12/5/2022,473,64,61,18215,3580,586,1131,159,143
12/6/2022,473,64,61,18227,3603,591,1139,159,143
12/7/2022,475,65,61,18242,3611,595,1159,160,143
12/8/2022,478,67,61,18248,3639,603,1164,160,143
12/9/2022,481,68,62,18255,3657,611,1169,160,143
12/10/2022,485,68,62,18259,3670,620,1173,160,143
12/11/2022,488,68,62,18259,3784,625,1175,161,143
12/12/2022,490,68,62,18262,3788,626,1175,161,144
12/13/2022,493,68,62,18424,3843,632,1184,161,144
12/14/2022,494,68,62,18426,3861,636,1184,161,144
12/15/2022,495,68,62,18426,3882,637,1184,161,144
12/16/2022,495,68,62,18450,3913,646,1191,161,144
12/17/2022,496,68,62,18452,3928,649,1192,161,144
12/18/2022,502,69,62,18542,3941,652,1192,161,144
12/19/2022,503,69,62,18452,3976,652,1192,161,144
12/20/2022,506,69,66,18457,4003,652,1194,161,144
12/21/2022,506,69,66,18477,4020,654,1196,161,144
12/22/2022,506,69,66,18477,4025,655,1196,161,144
12/23/2022,506,69,66,18516,4047,656,1201,161,144
12/24/2022,506,69,66,18516,4066,664,1201,161,144
12/25/2022,507,69,66,18516,4072,664,1208,161,144
12/26/2022,507,69,66,18533,4080,664,1212,161,144
12/27/2022,507,69,66,18533,4108,665,1216,161,144
12/28/2022,508,69,66,18666,4137,667,1218,161,144
12/29/2022,508,69,66,19196,4224,680,1222,161,144
12/30/2022,508,69,66,19199,4307,683,1230,161,144
12/31/2022,511,69,66,19202,4392,683,1234,161,144
1/1/2023,512,69,67,19204,4465,683,1234,161,144
1/2/2023,516,70,67,19204,4566,687,1236,161,144
1/3/2023,516,70,68,19250,4586,687,1236,161,144
1/4/2023,516,70,68,19262,4628,689,1236,161,144
1/5/2023,516,70,68,19262,4678,689,1240,161,144
1/6/2023,517,70,68,19262,4721,693,1241,163,144
1/7/2023,517,70,68,19262,4765,696,1241,163,144
1/8/2023,519,70,68,19291,4804,698,1249,163,144
1/9/2023,519,70,68,19301,4874,706,1250,163,144
1/10/2023,520,70,68,19396,4888,708,1251,163,144
1/11/2023,520,70,68,19396,4909,709,1251,163,144
1/12/2023,520,70,68,19396,4937,709,1251,163,144
1/13/2023,520,70,68,19400,4961,710,1255,164,144
1/14/2023,522,70,68,19400,4969,713,1255,164,144
1/15/2023,524,71,68,19401,4973,713,1255,164,144
1/16/2023,524,71,68,19545,4990,713,1256,164,144
1/17/2023,525,71,68,19545,5000,713,1256,164,144
1/18/2023,525,71,68,19545,5012,713,1256,164,144
1/19/2023,525,71,68,19546,5019,713,1258,164,144
1/20/2023,525,71,68,19546,5022,713,1260,164,144
